id_regions	code_country	date	hour_band	call_out_activity
1	0	2013-11-30/18:00:00	18	4.1339
1	0	2013-11-30/19:10:00	19	5.0254
1	0	2013-11-30/20:20:00	20	7.2479
1	0	2013-11-30/21:00:00	21	4.8608
1	0	2013-11-30/22:00:00	22	1.5200
1	0	2013-11-30/23:20:00	23	0.3324
1	0	2013-12-01/01:20:00	1	8.0066
1	0	2013-12-01/02:00:00	2	20.4681
1	0	2013-12-01/03:00:00	3	50.3736
1	0	2013-12-01/04:00:00	4	54.3071
1	0	2013-12-01/05:00:00	5	90.6051
1	0	2013-12-01/06:00:00	6	32.6907
1	0	2013-12-01/07:00:00	7	66.9972
1	0	2013-12-01/08:00:00	8	41.9729
1	0	2013-12-01/09:00:00	9	47.0103
1	0	2013-12-01/10:00:00	10	35.7041
1	0	2013-12-01/11:00:00	11	26.6918
1	0	2013-12-01/12:00:00	12	21.3899
1	0	2013-12-01/13:00:00	13	25.8049
1	0	2013-12-01/14:00:00	14	36.2725
1	0	2013-12-01/15:00:00	15	19.8308
1	0	2013-12-01/16:00:00	16	12.4801
1	0	2013-12-01/17:00:00	17	4.1925
1	1	2013-12-01/10:50:00	10	0.3587
1	1	2013-12-01/12:00:00	12	0.0309
1	1	2013-12-01/13:00:00	13	0.0053
1	1	2013-12-01/14:50:00	14	0.3475
1	1	2013-12-01/17:30:00	17	0.3161
1	7	2013-12-01/01:50:00	1	0.0329
1	7	2013-12-01/02:40:00	2	0.2070
1	7	2013-12-01/03:40:00	3	0.8303
1	7	2013-12-01/04:10:00	4	0.0039
1	7	2013-12-01/05:40:00	5	1.7050
1	7	2013-12-01/06:00:00	6	0.0518
1	7	2013-12-01/07:40:00	7	0.0518
1	7	2013-12-01/08:20:00	8	1.0585
1	7	2013-12-01/09:10:00	9	0.7617
1	7	2013-12-01/10:10:00	10	0.1365
1	7	2013-12-01/11:00:00	11	1.2628
1	7	2013-12-01/12:00:00	12	0.4426
1	7	2013-12-01/14:00:00	14	0.2022
1	20	2013-12-01/01:30:00	1	0.0213
1	20	2013-12-01/02:20:00	2	0.2094
1	20	2013-12-01/03:10:00	3	0.0106
1	20	2013-12-01/04:00:00	4	2.1526
1	20	2013-12-01/06:50:00	6	0.6770
1	20	2013-12-01/07:10:00	7	0.0035
1	20	2013-12-01/09:10:00	9	0.6770
1	20	2013-12-01/10:00:00	10	0.6929
1	20	2013-12-01/11:00:00	11	1.1054
1	20	2013-12-01/12:00:00	12	1.1233
1	20	2013-12-01/13:40:00	13	0.6823
1	20	2013-12-01/14:00:00	14	0.0106
1	20	2013-12-01/15:30:00	15	0.2070
1	20	2013-12-01/16:20:00	16	0.6210
1	27	2013-12-01/03:00:00	3	0.2022
1	27	2013-12-01/13:00:00	13	0.2022
1	27	2013-12-01/14:50:00	14	0.2022
1	30	2013-12-01/03:30:00	3	0.1075
1	30	2013-12-01/04:30:00	4	0.4577
1	30	2013-12-01/05:40:00	5	0.4892
1	30	2013-12-01/07:30:00	7	1.8302
1	30	2013-12-01/08:00:00	8	0.1609
1	30	2013-12-01/10:00:00	10	0.9154
1	30	2013-12-01/13:30:00	13	0.0561
1	30	2013-12-01/14:10:00	14	0.1303
1	31	2013-12-01/08:10:00	8	1.6907
1	31	2013-12-01/11:20:00	11	0.9971
1	31	2013-12-01/13:20:00	13	0.0881
1	31	2013-12-01/14:40:00	14	0.7673
1	31	2013-12-01/16:00:00	16	0.0881
1	32	2013-12-01/02:50:00	2	0.1030
1	32	2013-12-01/03:50:00	3	0.1030
1	32	2013-12-01/05:30:00	5	0.0518
1	32	2013-12-01/07:20:00	7	1.7092
1	32	2013-12-01/11:10:00	11	2.0074
1	32	2013-12-01/13:20:00	13	1.4770
1	33	2013-12-01/03:50:00	3	0.0079
1	33	2013-12-01/04:10:00	4	1.1603
1	33	2013-12-01/05:20:00	5	0.9755
1	33	2013-12-01/06:40:00	6	1.8724
1	33	2013-12-01/07:10:00	7	0.7019
1	33	2013-12-01/08:20:00	8	2.5480
1	33	2013-12-01/09:10:00	9	2.8137
1	33	2013-12-01/10:30:00	10	1.4282
1	33	2013-12-01/11:10:00	11	3.9528
1	33	2013-12-01/12:00:00	12	5.7672
1	33	2013-12-01/13:00:00	13	1.9828
1	33	2013-12-01/14:20:00	14	0.7497
1	33	2013-12-01/15:20:00	15	0.1460
1	33	2013-12-01/16:00:00	16	1.2968
1	34	2013-12-01/04:10:00	4	0.2150
1	34	2013-12-01/05:40:00	5	0.1223
1	34	2013-12-01/06:30:00	6	0.7895
1	34	2013-12-01/07:30:00	7	1.7635
1	34	2013-12-01/08:20:00	8	4.3307
1	34	2013-12-01/09:00:00	9	0.1774
1	34	2013-12-01/10:20:00	10	2.9540
1	34	2013-12-01/11:00:00	11	0.8547
1	34	2013-12-01/12:00:00	12	0.9298
1	34	2013-12-01/13:30:00	13	0.8002
1	34	2013-12-01/14:10:00	14	1.5799
1	34	2013-12-01/15:00:00	15	0.0881
1	34	2013-12-01/17:00:00	17	0.7544
1	36	2013-12-01/02:40:00	2	0.7445
1	36	2013-12-01/05:00:00	5	1.6776
1	36	2013-12-01/08:00:00	8	0.0226
1	36	2013-12-01/11:30:00	11	0.1391
1	36	2013-12-01/12:00:00	12	0.2111
1	36	2013-12-01/13:40:00	13	0.0467
1	36	2013-12-01/14:00:00	14	0.3511
1	36	2013-12-01/15:30:00	15	0.9204
1	39	2013-11-30/18:00:00	18	316.4058
1	39	2013-11-30/19:00:00	19	209.2717
1	39	2013-11-30/20:00:00	20	178.2035
1	39	2013-11-30/21:00:00	21	128.0762
1	39	2013-11-30/22:00:00	22	66.2323
1	39	2013-11-30/23:00:00	23	77.3087
1	39	2013-12-01/01:00:00	1	425.5883
1	39	2013-12-01/02:00:00	2	1548.1834
1	39	2013-12-01/03:00:00	3	3140.4086
1	39	2013-12-01/04:00:00	4	3889.7902
1	39	2013-12-01/05:00:00	5	4798.1676
1	39	2013-12-01/06:00:00	6	3865.4740
1	39	2013-12-01/07:00:00	7	3215.0644
1	39	2013-12-01/08:00:00	8	3043.5167
1	39	2013-12-01/09:00:00	9	2907.8680
1	39	2013-12-01/10:00:00	10	3488.9759
1	39	2013-12-01/11:00:00	11	3783.7103
1	39	2013-12-01/12:00:00	12	3350.6415
1	39	2013-12-01/13:00:00	13	2949.8753
1	39	2013-12-01/14:00:00	14	2287.9609
1	39	2013-12-01/15:00:00	15	1327.4883
1	39	2013-12-01/16:00:00	16	567.6936
1	39	2013-12-01/17:00:00	17	229.9247
1	40	2013-11-30/18:00:00	18	3.3252
1	40	2013-11-30/19:20:00	19	1.8662
1	40	2013-11-30/23:30:00	23	0.8310
1	40	2013-12-01/01:00:00	1	11.8298
1	40	2013-12-01/02:00:00	2	22.6378
1	40	2013-12-01/03:00:00	3	40.1689
1	40	2013-12-01/04:00:00	4	29.1370
1	40	2013-12-01/05:00:00	5	52.2218
1	40	2013-12-01/06:00:00	6	58.9829
1	40	2013-12-01/07:00:00	7	47.0986
1	40	2013-12-01/08:00:00	8	36.9854
1	40	2013-12-01/09:00:00	9	34.9828
1	40	2013-12-01/10:00:00	10	25.5350
1	40	2013-12-01/11:00:00	11	39.6339
1	40	2013-12-01/12:00:00	12	50.2819
1	40	2013-12-01/13:00:00	13	45.5500
1	40	2013-12-01/14:00:00	14	28.0429
1	40	2013-12-01/15:00:00	15	8.4152
1	40	2013-12-01/16:00:00	16	12.8101
1	40	2013-12-01/17:00:00	17	1.5313
1	41	2013-12-01/01:50:00	1	0.0214
1	41	2013-12-01/02:00:00	2	1.9216
1	41	2013-12-01/03:30:00	3	3.1789
1	41	2013-12-01/04:00:00	4	3.8494
1	41	2013-12-01/05:00:00	5	2.8346
1	41	2013-12-01/06:00:00	6	0.2287
1	41	2013-12-01/07:00:00	7	3.4385
1	41	2013-12-01/08:00:00	8	1.8424
1	41	2013-12-01/09:00:00	9	1.3505
1	41	2013-12-01/10:00:00	10	4.3640
1	41	2013-12-01/11:00:00	11	1.9145
1	41	2013-12-01/12:00:00	12	1.0434
1	41	2013-12-01/13:20:00	13	0.9423
1	41	2013-12-01/14:00:00	14	0.1956
1	41	2013-12-01/15:20:00	15	2.0718
1	41	2013-12-01/16:00:00	16	0.0903
1	43	2013-11-30/18:00:00	18	0.2261
1	43	2013-11-30/20:10:00	20	0.1862
1	43	2013-12-01/01:30:00	1	4.0003
1	43	2013-12-01/02:10:00	2	0.2835
1	43	2013-12-01/03:00:00	3	0.8000
1	43	2013-12-01/04:00:00	4	3.3905
1	43	2013-12-01/05:00:00	5	2.4676
1	43	2013-12-01/06:00:00	6	4.8172
1	43	2013-12-01/07:00:00	7	1.0134
1	43	2013-12-01/08:00:00	8	0.7792
1	43	2013-12-01/09:00:00	9	1.0493
1	43	2013-12-01/10:00:00	10	5.3761
1	43	2013-12-01/11:00:00	11	5.0047
1	43	2013-12-01/12:00:00	12	4.7872
1	43	2013-12-01/13:10:00	13	7.1541
1	43	2013-12-01/14:00:00	14	4.1905
1	43	2013-12-01/15:00:00	15	2.8290
1	43	2013-12-01/16:10:00	16	2.0935
1	43	2013-12-01/17:20:00	17	0.4563
1	44	2013-12-01/04:20:00	4	2.8079
1	44	2013-12-01/07:20:00	7	0.6328
1	44	2013-12-01/09:50:00	9	0.8615
1	44	2013-12-01/10:30:00	10	2.0823
1	44	2013-12-01/11:30:00	11	0.8615
1	44	2013-12-01/12:20:00	12	0.8701
1	44	2013-12-01/13:00:00	13	0.8615
1	44	2013-12-01/14:40:00	14	0.4549
1	44	2013-12-01/15:00:00	15	4.5442
1	44	2013-12-01/16:20:00	16	2.6693
1	44	2013-12-01/17:00:00	17	1.4781
1	46	2013-11-30/18:30:00	18	1.4755
1	46	2013-11-30/19:00:00	19	2.9511
1	46	2013-12-01/06:30:00	6	0.3908
1	46	2013-12-01/09:00:00	9	0.0517
1	46	2013-12-01/12:20:00	12	0.9154
1	46	2013-12-01/17:40:00	17	1.0407
1	47	2013-12-01/09:10:00	9	0.1391
1	47	2013-12-01/10:00:00	10	0.8969
1	48	2013-12-01/01:40:00	1	0.0714
1	48	2013-12-01/02:00:00	2	0.2873
1	48	2013-12-01/03:10:00	3	3.9850
1	48	2013-12-01/04:00:00	4	1.6219
1	48	2013-12-01/05:00:00	5	3.4790
1	48	2013-12-01/06:10:00	6	2.8526
